# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
charity|noun|An organisation helping people in need|kawanggawa|Samahang tumutulong sa nangangailangan|The charity feeds 200 families.
civilisation|noun|An advanced stage of human society|sibilisasyon|Mataas na antas ng lipunan|Ancient civilisations built cities.
class|noun|A group in society with similar status|uri|Grupo sa lipunang may katulad na katayuan|Class divisions remain visible.
community spirit|noun|A feeling of belonging among neighbours|diwa ng pagkakaisa|Damdamin ng pagkakabuklod|Community spirit is strong here.
convention|noun|An accepted way of behaving|kaugalian|Tinatanggap na paraan ng pagkilos|Social conventions vary by country.
demographics|noun|The statistics of a population|demograpiya|Estadistika ng populasyon|The demographics are changing.
discriminate|verb|To treat a group unfairly|magtangi|Hindi patas na pakikitungo|It is illegal to discriminate.
diversity of views|noun|The presence of many different kinds|pagkakaiba-iba|Pagkakaroon ng iba't ibang uri|The panel values diversity of views.
equality of opportunity|noun|The state of having the same rights|pagkakapantay|Kalagayan ng pantay na karapatan|We work for equality of opportunity.
ethnic|adjective|Relating to a group with shared culture|etniko|May kinalaman sa grupong may iisang kultura|Ethnic festivals fill the calendar.
festival|noun|A day or period of celebration|pista|Araw o panahon ng pagdiriwang|The harvest festival draws crowds.
generation gap|noun|Differences between younger and older people|agwat ng henerasyon|Pagkakaiba ng bata at matanda|The generation gap shows online.
heritage site|noun|A place of historical importance|pamana|Lugar na may makasaysayang halaga|The town is a heritage site.
identity card|noun|A document proving who you are|ID|Dokumentong patunay ng pagkakakilanlan|Carry your identity card.
inclusion of all|noun|The practice of involving everybody|pagsasama|Kasanayan ng pagsasama sa lahat|Inclusion of all is our aim.
integration into society|noun|The process of joining a wider group|integrasyon|Proseso ng pagsanib sa mas malaking grupo|Integration into society takes time.
migrant|noun|A person moving to live elsewhere|migrante|Taong lumilipat ng tirahan|Migrants filled the labour gap.
multicultural|adjective|Including several different cultures|multikultural|Kabilang ang iba't ibang kultura|London is a multicultural city.
prejudice against outsiders|noun|An unfair opinion formed in advance|pagtatangi|Di-patas na opinyong nauna nang nabuo|Prejudice against outsiders persists.
refugee|noun|A person forced to leave their country|refugee|Taong napilitang lisanin ang bansa|The camp shelters 5000 refugees.
rural community|noun|A group living in the countryside|pamayanang rural|Grupong nakatira sa kanayunan|The rural community is ageing.
solidarity with workers|noun|Unity based on shared interests|pagkakaisa|Pagkakabuklod dahil sa iisang interes|They showed solidarity with workers.
superstition|noun|A belief in luck or magic|pamahiin|Paniniwala sa suwerte o mahika|It is only a superstition.
taboo subject|noun|Something not allowed to be discussed|bawal na paksa|Paksang ipinagbabawal pag-usapan|Money is a taboo subject there.
urban|adjective|Relating to a town or city|urban|May kinalaman sa lungsod|Urban areas are growing.
values|noun|The principles a person or group holds|pagpapahalaga|Mga prinsipyong pinanghahawakan|Honesty is one of our values.

# ---------------- Travel & Places ----------------
accommodation booking|noun|An arrangement to stay somewhere|reserbasyon|Kasunduan sa matutuluyan|Confirm your accommodation booking.
airport|noun|A place where aircraft land and take off|paliparan|Lugar ng landing ng eroplano|The airport has three terminals.
arrival|noun|The act of reaching a destination|pagdating|Pagdating sa patutunguhan|Arrivals are on the ground floor.
backpacking|noun|Travelling cheaply with a rucksack|backpacking|Murang paglalakbay na may bag sa likod|She spent a year backpacking.
boarding pass|noun|A card allowing you onto a plane|boarding pass|Kartong nagpapahintulot sumakay|Show your boarding pass.
border control|noun|The checking of people entering a country|kontrol sa hangganan|Pagsusuri sa pumapasok sa bansa|Border control took an hour.
cathedral|noun|A large important church|katedral|Malaking mahalagang simbahan|The cathedral dates from 1220.
coastline|noun|The land along the edge of the sea|baybayin|Lupang nasa gilid ng dagat|The coastline stretches for miles.
customs declaration|noun|A form listing goods you bring in|deklarasyon sa adwana|Pormang naglilista ng dalang paninda|Complete a customs declaration.
departure lounge|noun|The waiting area before a flight|departure lounge|Hintayan bago ang lipad|We waited in the departure lounge.
destination guide|noun|Information about a place you visit|gabay sa destinasyon|Impormasyon sa pupuntahan|Read the destination guide first.
excursion trip|noun|A short journey for pleasure|eskursiyon|Maikling biyahe para sa aliw|The excursion trip visits the ruins.
guidebook|noun|A book of information for travellers|gabay-aklat|Aklat ng impormasyon sa manlalakbay|Buy a guidebook before you go.
harbour|noun|A sheltered place where ships stay|daungan|Ligtas na lugar ng barko|Boats fill the harbour.
hostel|noun|Cheap accommodation with shared rooms|hostel|Murang tuluyan na may pinagsasaluhang silid|We stayed in a hostel.
inland|adjective|Away from the sea|malayo sa dagat|Malayo sa baybayin|The town lies inland.
island|noun|Land surrounded by water|pulo|Lupang napapalibutan ng tubig|The island has 200 residents.
landmark building|noun|A well known feature used to find your way|palatandaan|Kilalang bagay na ginagamit sa pagtukoy|The tower is a landmark building.
mainland|noun|The main area of land, not the islands|kalupaan|Pangunahing lupain, hindi ang mga pulo|The ferry leaves the mainland at nine.
monument|noun|A structure built to remember somebody|monumento|Istrakturang gumugunita sa isang tao|The monument honours the fallen.
mountain range|noun|A line of connected mountains|bulubundukin|Hanay ng magkakadikit na bundok|The mountain range runs north.
peninsula|noun|Land almost surrounded by water|tangway|Lupang halos napapaligiran ng tubig|The peninsula juts into the sea.
sightseeing tour|noun|Visiting places of interest|paglilibot|Pagbisita sa mga kawili-wiling lugar|Join the sightseeing tour.
terminal building|noun|The main building at an airport|terminal|Pangunahing gusali sa paliparan|Meet me in the terminal building.
tourist attraction|noun|A place visitors like to see|atraksyong panturista|Lugar na gustong makita ng bisita|The castle is a tourist attraction.
valley|noun|Low land between hills|lambak|Mababang lupa sa pagitan ng burol|The valley floods each spring.
village|noun|A small settlement in the countryside|nayon|Maliit na pamayanan sa kanayunan|The village has one shop.
visa application|noun|A request for permission to enter a country|aplikasyon ng visa|Hiling na makapasok sa bansa|Submit your visa application early.

# ---------------- History & Geography ----------------
archaeology|noun|The study of the past through remains|arkeolohiya|Pag-aaral ng nakaraan sa pamamagitan ng labi|Archaeology revealed a Roman road.
artefact|noun|An object made by people long ago|artepakto|Bagay na gawa ng tao noon|The artefact dates from 800 BC.
chronology|noun|The order in which events happened|kronolohiya|Pagkakasunod ng pangyayari|Establish the chronology first.
colony|noun|A country controlled by another|kolonya|Bansang kontrolado ng iba|The island was once a colony.
conquest|noun|The taking of control by force|pananakop|Pagkontrol sa pamamagitan ng lakas|The conquest changed the language.
dynasty|noun|A series of rulers from one family|dinastiya|Sunod-sunod na pinuno mula sa isang angkan|The dynasty lasted 300 years.
empire|noun|A group of countries under one ruler|imperyo|Grupo ng bansang pinamumunuan ng isa|The empire stretched to the sea.
excavation|noun|The digging up of buried remains|paghuhukay|Paghukay ng nakalibing na labi|The excavation began in May.
independence|noun|Freedom from control by another country|kalayaan|Kalayaan mula sa ibang bansa|They won independence in 1946.
invasion|noun|Entering a country by force|pananalakay|Pagpasok sa bansa gamit ang lakas|The invasion lasted six weeks.
medieval|adjective|Relating to the Middle Ages|medyebal|May kinalaman sa Gitnang Panahon|The medieval walls still stand.
monarchy|noun|A country ruled by a king or queen|monarkiya|Bansang pinamumunuan ng hari o reyna|Britain is a monarchy.
prehistoric|adjective|From before written records|prehistoriko|Bago pa ang nakasulat na tala|Prehistoric tools were found here.
republic|noun|A country whose head is elected|republika|Bansang halal ang pinuno|France became a republic in 1792.
revolution|noun|A complete overthrow of a government|rebolusyon|Lubos na pagpapabagsak ng pamahalaan|The revolution began in the capital.
ruins|noun|The remains of destroyed buildings|guho|Labi ng nasirang gusali|The ruins attract many visitors.
treaty of peace|noun|A formal agreement between countries|kasunduan|Pormal na kasunduan ng mga bansa|They signed a treaty of peace.
altitude|noun|The height above sea level|altitud|Taas mula sa lebel ng dagat|The village sits at high altitude.
climate zone|noun|An area with a particular type of weather|sona ng klima|Lugar na may tiyak na uri ng panahon|Deserts form a distinct climate zone.
continent|noun|One of the earth's large land masses|kontinente|Isa sa malalaking lupain ng mundo|Africa is a vast continent.
delta|noun|Land where a river splits before the sea|delta|Lupang hinahati ng ilog bago ang dagat|The delta is very fertile.
equator|noun|The imaginary line round the middle of the earth|ekwador|Guhit na pumapalibot sa gitna ng mundo|Countries near the equator are hot.
glacier|noun|A slow moving mass of ice|glasyar|Mabagal na gumagalaw na yelo|The glacier has retreated.
hemisphere|noun|One half of the earth|hemispero|Kalahati ng mundo|Summer differs by hemisphere.
latitude|noun|The distance north or south of the equator|latitud|Layo pahilaga o patimog ng ekwador|Note the latitude and longitude.
longitude|noun|The distance east or west of a fixed line|longhitud|Layo pasilangan o pakanluran|Longitude is measured in degrees.
plateau|noun|A large area of high flat land|talampas|Malawak na mataas at patag na lupa|Sheep graze on the plateau.
tributary|noun|A river flowing into a larger one|sanga ng ilog|Ilog na dumadaloy sa mas malaki|The stream is a tributary of the Thames.
tropics|noun|The hot regions near the equator|tropiko|Mainit na rehiyon malapit sa ekwador|Bananas grow in the tropics.
volcano|noun|A mountain that can throw out lava|bulkan|Bundok na maaaring magbuga ng lava|The volcano last erupted in 1991.

# ---------------- Religion & Belief ----------------
altar|noun|A table used in religious ceremonies|altar|Mesa sa seremonyang panrelihiyon|Flowers stood on the altar.
blessing|noun|A prayer asking for protection or favour|basbas|Panalanging humihingi ng proteksyon|The priest gave a blessing.
chapel|noun|A small place of worship|kapilya|Maliit na lugar ng pagsamba|The chapel seats forty.
congregation|noun|The people attending a religious service|kongregasyon|Mga taong dumadalo sa pagsamba|The congregation sang together.
devotion|noun|Deep religious feeling or loyalty|debosyon|Malalim na damdaming panrelihiyon|Her devotion never wavered.
fasting|noun|Going without food for religious reasons|pag-aayuno|Hindi pagkain dahil sa relihiyon|Fasting lasts a month.
hymn|noun|A religious song of praise|himno|Awit ng papuri sa relihiyon|They sang an old hymn.
meditation|noun|Quiet thought for relaxation or religion|meditasyon|Tahimik na pagmumuni|Meditation calms the mind.
missionary|noun|A person who spreads a religion abroad|misyonero|Taong nagpapalaganap ng relihiyon|A missionary founded the school.
monk|noun|A man living in a religious community|monghe|Lalaking nakatira sa komunidad panrelihiyon|The monk kept a vow of silence.
mosque|noun|A place of Muslim worship|moske|Lugar ng pagsamba ng Muslim|The mosque was built in 1900.
pilgrim|noun|A person travelling to a holy place|peregrino|Taong naglalakbay sa banal na lugar|Pilgrims walk the route each year.
prayer|noun|Words spoken to a god|panalangin|Salitang binibigkas sa diyos|She said a quiet prayer.
preach|verb|To give a religious talk|mangaral|Magbigay ng sermon|The vicar preached for ten minutes.
ritual practice|noun|A set of actions performed regularly|ritwal|Hanay ng kilos na regular na ginagawa|The ritual practice dates back centuries.
sacrifice|noun|The giving up of something valued|sakripisyo|Pagbibigay ng mahalagang bagay|They made great sacrifices.
saint|noun|A person recognised as very holy|santo|Taong kinikilalang napakabanal|The church is named after a saint.
scripture|noun|The sacred writings of a religion|banal na kasulatan|Banal na sulatin ng relihiyon|He quoted from scripture.
sermon|noun|A religious talk given in a service|sermon|Pananalitang panrelihiyon|The sermon lasted twenty minutes.
shrine|noun|A holy place associated with a person|dambana|Banal na lugar na may kaugnayan sa isang tao|Pilgrims visit the shrine.
spiritual|adjective|Relating to the soul rather than the body|espiritwal|May kinalaman sa kaluluwa|She had a spiritual awakening.
temple|noun|A building used for worship|templo|Gusaling ginagamit sa pagsamba|The temple stands on a hill.
worship|verb|To show respect and love for a god|sumamba|Magpakita ng paggalang sa diyos|They worship every Friday.

# ---------------- Work & Career ----------------
apprentice|noun|A person learning a trade from a skilled worker|aprentis|Taong natututo ng hanapbuhay|He started as an apprentice.
appraisal meeting|noun|A review of an employee's performance|pagsusuri|Pagrepaso sa gawa ng empleyado|Her appraisal meeting is on Friday.
bonus|noun|Extra money paid for good work|bonus|Karagdagang pera para sa mahusay na gawa|Staff received a Christmas bonus.
briefing|noun|A meeting giving instructions or information|briefing|Pulong na nagbibigay ng tagubilin|Attend the morning briefing.
career break|noun|A period away from work|pahinga sa karera|Panahong lumalayo sa trabaho|She took a career break to study.
colleague at work|noun|A person you work with|katrabaho|Taong kasama sa trabaho|Ask a colleague at work for help.
contract of employment|noun|A legal agreement about a job|kontrata sa trabaho|Legal na kasunduan sa trabaho|Read your contract of employment.
CV|noun|A summary of your education and work history|CV|Buod ng pinag-aralan at karanasan|Update your CV before applying.
delegate tasks|verb|To give work to somebody else|magtalaga|Ibigay ang gawain sa iba|Good managers delegate tasks.
department head|noun|The person leading a section|pinuno ng departamento|Namumuno sa isang bahagi|Speak to the department head.
dismissal notice|noun|A statement ending somebody's employment|abiso ng pagkakatanggal|Pahayag ng pagtatapos ng trabaho|He received a dismissal notice.
employer|noun|A person or company that pays workers|amo|Tao o kumpanyang nagbabayad ng manggagawa|A good employer invests in training.
employee|noun|A person who works for somebody else|empleyado|Taong nagtatrabaho para sa iba|Every employee gets training.
expertise in finance|noun|Special skill or knowledge|kadalubhasaan|Natatanging kasanayan o kaalaman|She has expertise in finance.
flexitime|noun|A system letting staff choose their hours|flexitime|Sistemang pumipili ng oras ng trabaho|Flexitime suits working parents.
freelancer|noun|A person working for several clients|freelancer|Taong nagtatrabaho para sa iba't ibang kliyente|She works as a freelancer.
grievance|noun|A formal complaint by an employee|reklamo|Pormal na reklamo ng empleyado|He filed a grievance.
headhunter|noun|A person who finds staff for senior jobs|headhunter|Taong naghahanap ng tao sa mataas na posisyon|A headhunter contacted her.
induction|noun|The introduction of a new employee to a job|oryentasyon|Pagpapakilala sa bagong empleyado|Induction takes two days.
job description|noun|A written list of a role's duties|paglalarawan ng trabaho|Nakasulat na listahan ng tungkulin|Read the job description carefully.
line manager|noun|The person directly above you at work|direktang superbisor|Taong nasa itaas mo sa trabaho|Report to your line manager.
maternity leave|noun|Time off work after having a baby|maternity leave|Bakasyon matapos manganak|She is on maternity leave.
notice period|noun|The time you must work before leaving|panahon ng abiso|Panahong dapat pa ring magtrabaho|My notice period is one month.
occupation|noun|A person's job or profession|hanapbuhay|Trabaho o propesyon ng tao|State your occupation on the form.
overtime pay|noun|Money for hours worked beyond normal|bayad sa obertaym|Bayad sa sobrang oras|Overtime pay is time and a half.
probation|noun|A trial period at the start of a job|probasyon|Panahon ng pagsubok sa simula ng trabaho|Probation lasts three months.
profession|noun|A job needing special training|propesyon|Trabahong nangangailangan ng pagsasanay|Nursing is a demanding profession.
promotion prospects|noun|The chance of moving to a higher post|pagkakataon sa promosyon|Tsansang umakyat sa mas mataas|The promotion prospects are good.
qualification required|noun|The training a job demands|kwalipikasyong kailangan|Pagsasanay na hinihingi ng trabaho|List the qualifications required.
redundancy pay|noun|Money given when a job is cut|bayad sa pagkakatanggal|Perang ibinibigay kapag natanggal|He received redundancy pay.
resignation letter|noun|A written notice that you are leaving|liham ng pagbibitiw|Nakasulat na abiso ng pag-alis|She handed in her resignation letter.
resume duties|verb|To start doing something again|magpatuloy|Simulang muli ang gawain|He resumed duties in March.
retirement|noun|The state of having stopped working|pagreretiro|Kalagayan ng pagtigil sa trabaho|Retirement suits him well.
salary|noun|Fixed money paid monthly for work|sahod|Takdang buwanang bayad sa trabaho|The salary is paid on the 25th.
shift|noun|A period of work in a rota|shift|Panahon ng trabaho sa iskedyul|I work the night shift.
sick leave|noun|Time off work because of illness|sick leave|Bakasyon dahil sa sakit|He is on sick leave.
staff meeting|noun|A meeting of the people who work somewhere|pulong ng kawani|Pagtitipon ng mga nagtatrabaho|The staff meeting is at nine.
teamwork|noun|Working effectively with others|pagtutulungan|Mahusay na pagtutulungan|Teamwork made the difference.
trade union|noun|An organisation protecting workers' rights|unyon|Samahang nagtatanggol sa manggagawa|The trade union called a vote.
vacancy for a clerk|noun|A job that is available|bakante|Trabahong bukas para sa aplikante|There is a vacancy for a clerk.
workforce|noun|All the people who work for a company|lakas-paggawa|Lahat ng manggagawa ng kumpanya|The workforce has doubled.
workplace|noun|The place where you do your job|lugar ng trabaho|Lugar ng paggawa|The workplace must be safe.

# ---------------- Money & Finance ----------------
affordability|noun|The state of being cheap enough to buy|abot-kaya|Kalagayan ng pagiging kayang bilhin|Housing affordability has worsened.
allowance|noun|Money given regularly for a purpose|alawans|Perang ibinibigay nang regular|She gets a travel allowance.
arrears|noun|Money owed that should have been paid|atraso|Perang dapat nang nabayaran|The rent is in arrears.
asset value|noun|The worth of something owned|halaga ng ari-arian|Halaga ng pag-aari|Asset value fell last year.
balance of an account|noun|The amount of money in an account|balanse|Perang natitira sa akawnt|Check the balance of your account.
banknote|noun|A piece of paper money|papel de bangko|Papel na salapi|A twenty pound banknote.
borrowing|noun|The act of taking money as a loan|panghihiram|Pagkuha ng pera bilang utang|Borrowing costs have risen.
capital investment|noun|Money used to start or grow a business|puhunan|Perang ginagamit sa negosyo|Capital investment fell sharply.
cash flow|noun|The movement of money in and out|daloy ng salapi|Paggalaw ng pera papasok at palabas|Cash flow is the main worry.
cheque|noun|A written order to a bank to pay money|tseke|Nakasulat na utos sa bangko|Pay by cheque or card.
commission|noun|Money paid for making a sale|komisyon|Perang bayad sa nakabenta|Agents earn commission.
creditor|noun|A person or firm you owe money to|pinagkakautangan|Taong may utang ka|Creditors must be paid first.
debtor|noun|A person who owes money|may utang|Taong may pagkakautang|The debtor agreed a plan.
donation|noun|Money or goods given to help|donasyon|Pera o bagay na ibinigay bilang tulong|The donation funded a new roof.
earnings|noun|Money received from work or investment|kita|Perang natatanggap sa trabaho|Earnings rose by five percent.
economy|noun|The system of money and trade in a country|ekonomiya|Sistema ng pera at kalakalan|The economy is recovering.
exchange rate|noun|The value of one currency against another|palitan|Halaga ng isang pera kumpara sa iba|The exchange rate moved sharply.
expense claim|noun|A request to be repaid for work costs|singil sa gastos|Hiling na mabayaran ang gastos|Submit your expense claim monthly.
fee|noun|Money paid for a service|bayarin|Perang bayad sa serbisyo|The fee includes materials.
finance a purchase|verb|To provide money for something|pondohan|Magbigay ng pera para sa isang bagay|The bank will finance the purchase.
funding|noun|Money provided for a purpose|pondo|Perang ibinibigay para sa layunin|Funding runs out in June.
income tax|noun|Tax paid on money you earn|buwis sa kita|Buwis sa perang kinikita|Income tax is deducted monthly.
inheritance|noun|Money or property received from somebody who died|mana|Pera o ari-ariang minana|She used her inheritance to study.
insolvent|adjective|Unable to pay what you owe|walang kakayahang magbayad|Hindi kayang bayaran ang utang|The firm became insolvent.
interest rate|noun|The percentage charged on a loan|tantos ng interes|Bahagdang sinisingil sa utang|Interest rates have risen again.
investment portfolio|noun|The collection of investments somebody holds|portfolio|Koleksyon ng puhunan ng isang tao|Diversify your investment portfolio.
lender|noun|A person or bank that lends money|nagpapautang|Tao o bangkong nagpapautang|Compare lenders before borrowing.
liability for debt|noun|Legal responsibility for something|pananagutan|Legal na responsibilidad|Limit your liability for debt.
loan agreement|noun|A contract setting out loan terms|kasunduan sa utang|Kontratang naglalaman ng kondisyon|Read the loan agreement.
payment plan|noun|An arrangement to pay in stages|plano ng pagbabayad|Kasunduang bayaran nang paunti-unti|We agreed a payment plan.
pension scheme|noun|A plan providing money after retirement|plano sa pensiyon|Planong nagbibigay ng pera pagkaretiro|Join the pension scheme early.
receipt of payment|noun|Proof that money was paid|resibo|Patunay ng pagbabayad|Keep the receipt of payment.
recession risk|noun|A period when the economy shrinks|panganib ng resesyon|Panahon ng pagliit ng ekonomiya|Recession risk has increased.
refund request|noun|A demand for money to be returned|hiling ng refund|Hiling na maisauli ang pera|Submit a refund request online.
salary increase|noun|A rise in the money paid for work|dagdag sa sahod|Pagtaas ng bayad sa trabaho|She asked for a salary increase.
saving account|noun|A bank account for keeping money|ipunan|Akawnt sa bangko para sa ipon|Open a saving account today.
shares|noun|Units of ownership in a company|sapi|Bahagi ng pagmamay-ari sa kumpanya|He bought shares in the firm.
statement of account|noun|A record of money in and out|pahayag ng akawnt|Talaan ng pera papasok at palabas|Your statement of account arrives monthly.
transaction fee|noun|A charge for moving money|bayad sa transaksyon|Singil sa paglilipat ng pera|A small transaction fee applies.
wages|noun|Money paid weekly for work done|sahod|Lingguhang bayad sa trabaho|Wages are paid on Fridays.
withdrawal|noun|The taking of money out of an account|paglabas ng pera|Pagkuha ng pera sa akawnt|A cash withdrawal costs nothing.

# ---------------- Academic Vocabulary ----------------
abstract idea|noun|Something existing as a thought, not physical|abstraktong ideya|Bagay na nasa isip lamang|Justice is an abstract idea.
accumulate evidence|verb|To gather more and more over time|mangalap|Magtipon nang paunti-unti|Researchers accumulate evidence slowly.
adequate sample|noun|An amount sufficient for a purpose|sapat na sampol|Dami na sapat para sa layunin|Ensure an adequate sample size.
ambiguity|noun|The state of having more than one meaning|kalabuan|Kalagayan ng higit sa isang kahulugan|The wording creates ambiguity.
analogy|noun|A comparison showing similarity|analohiya|Paghahambing na nagpapakita ng pagkakatulad|He drew an analogy with farming.
attribute a cause|verb|To say what caused something|iugnay|Sabihin ang sanhi ng isang bagay|Do not attribute a cause too soon.
categorise|verb|To place things into groups|pag-uri-uriin|Ilagay sa mga pangkat|Categorise the responses first.
coherence|noun|The quality of fitting together logically|pagkakaugnay|Katangian ng lohikal na pagkakabuo|The essay lacks coherence.
concept map|noun|A diagram showing linked ideas|mapa ng konsepto|Diagram ng magkakaugnay na ideya|Draw a concept map to revise.
conclusion drawn|noun|A judgement reached after reasoning|konklusyon|Hatol matapos mangatwiran|State the conclusion drawn clearly.
constitute a majority|verb|To make up or form something|bumuo|Bumuo ng isang bagay|Women constitute a majority here.
correlate|verb|To have a mutual relationship|magkaugnay|Magkaroon ng ugnayan|Income correlates with education.
criterion|noun|A standard used for judging|pamantayan|Sukatang ginagamit sa paghatol|Cost is one criterion.
deduce|verb|To reach a conclusion by reasoning|ihinuha|Bumuo ng konklusyon sa katwiran|We deduce the cause from the data.
denote|verb|To be a sign of something|magpahiwatig|Maging tanda ng isang bagay|The symbol denotes danger.
discourse|noun|Serious discussion or writing on a topic|diskurso|Seryosong talakayan o sulatin|Academic discourse follows rules.
empirical evidence|noun|Knowledge based on observation|empirikal na ebidensya|Kaalamang batay sa obserbasyon|Provide empirical evidence.
framework|noun|A structure of ideas supporting something|balangkas|Istruktura ng ideyang sumusuporta|The theory offers a useful framework.
hierarchy of needs|noun|A system ranking things by importance|hayerarkiya|Sistemang naghahanay ayon sa halaga|Maslow described a hierarchy of needs.
implication of the result|noun|A likely consequence not stated directly|implikasyon|Malamang na bungang hindi tuwirang sinabi|Consider the implication of the result.
inference|noun|A conclusion drawn from evidence|hinuha|Konklusyon mula sa ebidensya|That inference is not supported.
interpret data|verb|To explain the meaning of something|bigyang-kahulugan|Ipaliwanag ang kahulugan|Interpret the data with care.
justify a claim|verb|To show that something is reasonable|patunayan|Ipakitang makatuwiran|You must justify a claim with evidence.
literature review|noun|A survey of existing writing on a topic|repaso ng literatura|Pagsusuri ng nailathala nang sulatin|Begin with a literature review.
methodology used|noun|The set of methods used in research|metodolohiya|Hanay ng paraang ginamit sa pananaliksik|Describe the methodology used.
paradigm shift|noun|A fundamental change in approach|pagbabago ng paradigm|Malaking pagbabago sa pananaw|The discovery caused a paradigm shift.
phenomenon|noun|A fact or event that can be observed|penomeno|Katotohanan o pangyayaring napapansin|The phenomenon is well documented.
qualitative data|noun|Information described in words not numbers|kwalitatibong datos|Impormasyong nakasaad sa salita|Interviews gather qualitative data.
quantitative data|noun|Information expressed in numbers|kwantitatibong datos|Impormasyong nakasaad sa bilang|Surveys produce quantitative data.
rationale|noun|The reasons behind a decision|katwiran|Dahilan sa likod ng desisyon|Explain the rationale for the change.
refute|verb|To prove that something is wrong|pabulaanan|Patunayang mali ang isang bagay|The study refutes that claim.
scope of the study|noun|The range of what is covered|saklaw|Lawak ng sinasaklaw|Define the scope of the study.
subsequent analysis|noun|Something that comes after|kasunod|Bagay na sumusunod|Subsequent analysis confirmed it.
substantiate|verb|To support with evidence|patunayan|Suportahan ng ebidensya|Substantiate every assertion.
synthesise|verb|To combine ideas into a whole|pagsamahin|Pagsamahin ang ideya sa isang kabuuan|Synthesise the main findings.

# ---------------- Common Idioms ----------------
a change of heart|idiom|A change in your opinion or feeling|pagbabago ng isip|Pagbabago ng damdamin o pasya|He had a change of heart at the last minute.
a drop in the ocean|idiom|A very small amount compared with what is needed|patak sa dagat|Napakaliit kumpara sa kailangan|The donation is a drop in the ocean.
a hard nut to crack|idiom|A difficult problem or person|mahirap lutasin|Mahirap na suliranin o tao|That case is a hard nut to crack.
a piece of the action|idiom|A share in something profitable|bahagi sa kita|Bahagi sa kumikitang bagay|Everyone wants a piece of the action.
a slap on the wrist|idiom|A very mild punishment|magaang parusa|Napakagaan na parusa|He got only a slap on the wrist.
against the clock|idiom|Hurrying because time is short|karera sa oras|Nagmamadali dahil kulang ang oras|We worked against the clock.
all ears|idiom|Listening with full attention|nakikinig na mabuti|Buong-atensyong nakikinig|Go on, I am all ears.
an arm and a leg|idiom|A very large amount of money|napakamahal|Napakalaking halaga ng pera|That watch cost an arm and a leg.
at face value|idiom|Accepted as it appears without question|sa unang tingin|Tinatanggap ayon sa nakikita|Do not take the offer at face value.
at loggerheads|idiom|In strong disagreement|hindi magkasundo|Matinding di-pagkakasundo|The two sides are at loggerheads.
back on your feet|idiom|Recovered after illness or trouble|nakabangon|Gumaling matapos ang sakit o gulo|She is back on her feet now.
beat about the bush|idiom|To avoid saying something directly|paligoy-ligoy|Iwasang sabihin nang tuwiran|Stop beating about the bush.
behind the scenes|idiom|Happening privately, not in public|sa likod ng eksena|Nangyayari nang palihim|Much work happens behind the scenes.
bend the rules|idiom|To allow an exception to a rule|lumihis sa patakaran|Payagan ang eksepsyon sa tuntunin|They bent the rules for her.
better off|idiom|In a more fortunate position|mas mabuti ang kalagayan|Nasa mas mabuting kalagayan|You would be better off waiting.
bite your tongue|idiom|To stop yourself from speaking|magpigil sa pagsasalita|Pigilan ang sarili sa pagsasalita|I had to bite my tongue.
blow your own trumpet|idiom|To praise yourself too much|magyabang|Purihin ang sarili nang labis|He never blows his own trumpet.
break new ground|idiom|To do something never done before|magbukas ng bagong landas|Gumawa ng hindi pa nagagawa|The study breaks new ground.
by and large|idiom|Generally speaking|sa pangkalahatan|Sa karamihan ng pagkakataon|By and large, the plan worked.
call the shots|idiom|To be the person in control|magdesisyon|Ang siyang nag-uutos|The finance team calls the shots.
carry weight|idiom|To be influential and taken seriously|may bigat|May impluwensya at pinapakinggan|Her opinion carries weight.
catch someone off guard|idiom|To surprise somebody who is not prepared|mahuli sa hindi handa|Gulatin ang hindi nakahanda|The question caught him off guard.
change your tune|idiom|To change your opinion suddenly|magbago ng tono|Biglang magbago ng opinyon|He soon changed his tune.
clear the air|idiom|To remove tension by discussing openly|linisin ang sitwasyon|Alisin ang tensyon sa bukas na usapan|A quick chat cleared the air.
come to terms with|idiom|To accept a difficult situation|tanggapin|Tanggapin ang mahirap na sitwasyon|She came to terms with the loss.
cut it fine|idiom|To leave yourself very little time|halos maubusan ng oras|Napakakaunting oras ang natira|We cut it fine catching the train.
down the line|idiom|At a later point in the future|sa hinaharap|Sa susunod na panahon|We will review it further down the line.
draw the line|idiom|To set a limit on what you accept|maglagay ng hangganan|Magtakda ng limitasyon|I draw the line at rudeness.
drive a hard bargain|idiom|To negotiate very firmly|magpursigi sa presyo|Makipagtawaran nang mariin|She drives a hard bargain.
fall on deaf ears|idiom|To be ignored completely|hindi pinakinggan|Hindi pinansin|The warnings fell on deaf ears.
find your feet|idiom|To become confident in a new situation|masanay|Maging kumpiyansa sa bagong kalagayan|Give her time to find her feet.
get a grip|idiom|To take control of your emotions|kumalma|Kontrolin ang damdamin|Get a grip and start again.
get your act together|idiom|To become organised and effective|ayusin ang sarili|Maging maayos at epektibo|He needs to get his act together.
give the green light|idiom|To give permission to proceed|magbigay ng pahintulot|Payagang magpatuloy|The board gave the green light.
go down well|idiom|To be received favourably|magustuhan|Maging kaaya-aya sa iba|The speech went down well.
