# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
prudent|adjective|Wise and careful about the future|maingat|Matalino at maingat sa hinaharap|It is prudent to save monthly.
quandary|noun|A state of uncertainty|alanganin|Kalagayan ng pag-aalinlangan|I am in a quandary about the offer.
reticent|adjective|Unwilling to speak freely|tahimik|Hindi mahilig magsalita|He was reticent about the details.
salient|adjective|Most noticeable or important|pinakatampok|Pinakamahalaga o namumukod|List the salient points first.
scrupulous|adjective|Very careful about doing right|maingat sa tama|Napakaingat sa tama at wasto|She is scrupulous about credit.
serendipity|noun|A pleasant discovery made by chance|masuwerteng pagkatuklas|Magandang natuklasan nang hindi sinasadya|Finding that book was pure serendipity.
spurious|adjective|Not genuine|hindi tunay|Peke at walang basehan|The claim rests on spurious data.
succinct|adjective|Brief and clearly expressed|maikli at malinaw|Maikli ngunit malinaw|Keep the abstract succinct.
tacit|adjective|Understood without being said|di-sinasabi|Nauunawaan kahit hindi sinasabi|There was a tacit agreement.
tenacious|adjective|Holding firmly and not giving up|matiyaga|Matatag at hindi sumusuko|A tenacious negotiator wins ground.
tenuous|adjective|Very weak or slight|manipis ang basehan|Napakahina o napakanipis|The link is tenuous at best.
ubiquitous|adjective|Present everywhere|laganap|Nasa lahat ng lugar|Screens are ubiquitous now.
vindicate|verb|To clear of blame or prove right|mapawalang-sala|Mapatunayang tama o walang sala|The report vindicated her decision.
zealous|adjective|Full of eager enthusiasm|masigasig|Puno ng sigasig at pananabik|A zealous volunteer led the drive.

# ---------------- Academic Vocabulary ----------------
analysis|noun|Detailed examination of parts|pagsusuri|Masusing pagtingin sa bahagi|Her analysis of the data was clear.
approach|noun|A way of dealing with something|paraan|Paraan ng paglapit sa gawain|We tried a new approach.
concept|noun|An abstract idea|konsepto|Ideyang abstrakto|The concept of fairness varies.
consistent|adjective|Unchanging and in agreement|palagian|Hindi nagbabago at nagkakatugma|The results were consistent.
constitute|verb|To form or make up something|bumuo|Bumuo o maging bahagi ng kabuuan|Twelve members constitute a quorum.
criteria|noun|Standards used for judging|pamantayan|Batayan sa paghusga|List the criteria for marking.
data|noun|Facts collected for analysis|datos|Mga impormasyong tinipon|The data support the theory.
derive|verb|To obtain something from a source|hango|Kunin mula sa pinagmulan|The word derives from Latin.
distinct|adjective|Clearly different or separate|natatangi|Malinaw na kaiba o hiwalay|These are two distinct problems.
establish|verb|To set up or prove firmly|itatag|Itayo o patunayan nang matibay|The study establishes a link.
evident|adjective|Plain to see or understand|maliwanag|Malinaw na nakikita o nauunawaan|The effect is evident in the graph.
factor|noun|An element that influences a result|salik|Bahaging nakaaapekto sa resulta|Cost is the main factor.
hypothesis|noun|A proposed explanation to be tested|palagay|Panimulang paliwanag na susubukin|Our hypothesis was supported.
implement|verb|To put a plan into action|isakatuparan|Ilapat ang plano sa gawa|The school implemented the policy.
implication|noun|A likely consequence or hidden meaning|kahihinatnan|Maaaring bunga o nakatagong kahulugan|Consider the implications first.
indicate|verb|To point out or show|magpahiwatig|Ituro o ipakita|The arrows indicate the flow.
interpretation|noun|An explanation of meaning|pakahulugan|Paliwanag sa kahulugan|Her interpretation differs from mine.
methodology|noun|The system of methods used in study|metodolohiya|Sistema ng paraan sa pag-aaral|Describe your methodology briefly.
principle|noun|A basic rule or belief|prinsipyo|Pangunahing tuntunin o paniniwala|Act on principle, not on impulse.
process|noun|A series of steps toward a result|proseso|Serye ng hakbang tungo sa resulta|Explain the process step by step.
research|noun|Careful study to find new facts|pagsasaliksik|Maingat na pag-aaral para sa bagong kaalaman|Her research took two years.
structure|noun|The way parts are arranged|balangkas|Pagkakaayos ng mga bahagi|The essay has a clear structure.
theory|noun|An explanation supported by evidence|teorya|Paliwanag na may suportang ebidensya|The theory explains both cases.
variable|noun|A factor that can change|baryabol|Salik na maaaring magbago|Control one variable at a time.
abstract|noun|A short summary of a paper|lagom|Maikling buod ng papel|Read the abstract before the paper.
citation|noun|A reference to a source|sanggunian|Pagtukoy sa pinagkunan|Add a citation for each claim.
bibliography|noun|A list of sources used|talaan ng sanggunian|Listahan ng mga pinagkunan|The bibliography runs to five pages.
plagiarism|noun|Using another's work as your own|panggagaya|Paggamit ng gawa ng iba na parang sarili|Plagiarism carries serious penalties.
peer review|noun|Evaluation of work by other experts|pagsusuri ng kapwa dalubhasa|Pagsusuri ng ibang eksperto|The paper passed peer review.
empirical|adjective|Based on observation or experiment|batay sa obserbasyon|Nakabatay sa pagmamasid o eksperimento|We need empirical evidence.
qualitative|adjective|Based on qualities rather than numbers|kalitatibo|Batay sa katangian at hindi bilang|Interviews give qualitative data.
quantitative|adjective|Based on measurable amounts|kwantitatibo|Batay sa nabibilang na dami|Surveys give quantitative data.
correlation|noun|A mutual relationship between things|ugnayan|Kaugnayan ng dalawang bagay|There is a correlation, not a cause.
sample|noun|A small group chosen to represent a whole|sampol|Maliit na pangkat na kumakatawan sa kabuuan|Our sample included fifty pupils.
bias|noun|An unfair leaning in one direction|kinikilingan|Hindi patas na paghilig sa isang panig|Random selection reduces bias.
validity|noun|The quality of being sound and true|katumpakan|Kalidad ng pagiging wasto at matibay|The test has proven validity.

# ---------------- Character & Personality ----------------
aloof|adjective|Distant and unfriendly|mailap|Malayo ang loob at hindi palakaibigan|The new manager seemed aloof at first.
amiable|adjective|Pleasant and good natured|magiliw|Kaaya-aya at mabuti ang ugali|Our host was amiable throughout.
amicable|adjective|Friendly and without hostility|mapagkaibigan|Walang alitan at may pagkakaibigan|They reached an amicable settlement.
arrogant|adjective|Believing you are better than others|mayabang|Nag-aakalang mataas sa iba|His arrogant tone lost him support.
assiduous|adjective|Showing constant care and effort|masikap|Palagiang maingat at masipag|She was assiduous in checking sources.
boisterous|adjective|Noisy and full of energy|maingay|Malikot at maingay|A boisterous crowd filled the hall.
brash|adjective|Confident in a rude way|pangahas|Mapangahas at walang galang|The brash reply upset the client.
callous|adjective|Unfeeling toward the suffering of others|walang pakiramdam|Walang malasakit sa hirap ng iba|His callous remark shocked us.
charismatic|adjective|Having a strong personal appeal|nakakaakit|May pambihirang bighani sa tao|A charismatic leader draws followers.
churlish|adjective|Rude and bad tempered|masungit|Bastos at masama ang timpla|It would be churlish to refuse.
complacent|adjective|Too satisfied to keep improving|kampante|Sobrang kontento at hindi na nagsisikap|Do not grow complacent after one win.
conceited|adjective|Excessively proud of yourself|hambog|Labis ang pagmamalaki sa sarili|The conceited actor ignored the crew.
condescending|adjective|Treating others as inferior|mapagmataas|Tinitingnan ang iba nang mababa|Avoid a condescending tone with beginners.
cordial|adjective|Warm and sincere in manner|magiliw|Mainit at tapat ang pakikitungo|They exchanged cordial greetings.
courageous|adjective|Showing bravery in difficulty|matapang|May tapang sa gitna ng hirap|It was a courageous decision.
cunning|adjective|Clever in a deceptive way|tuso|Matalino sa mapanlinlang na paraan|The cunning fox escaped the trap.
cynical|adjective|Believing people act only from self interest|mapaghinala|Nag-aakalang makasarili ang lahat|He is cynical about political promises.
decisive|adjective|Able to make decisions quickly|matatag ang pasya|Mabilis at tiyak sa pagpapasya|A decisive captain steadied the team.
despondent|adjective|Very low in spirits|lupaypay|Panghihina ng loob|She grew despondent after the rejection.
diffident|adjective|Lacking confidence in yourself|mahiyain|Kulang sa tiwala sa sarili|The diffident pupil rarely speaks up.
disgruntled|adjective|Annoyed and dissatisfied|nagtatampo|Naiinis at hindi nasisiyahan|Disgruntled customers wrote to the manager.
docile|adjective|Quiet and easy to control|maamo|Tahimik at madaling akayin|The docile pony suits beginners.
eccentric|adjective|Unconventional in a strange way|kakaiba|Kakaiba sa karaniwang gawi|Our neighbour has eccentric habits.
effusive|adjective|Expressing feelings without restraint|labis na madamdamin|Sobrang bukas sa pagpapahayag ng damdamin|Her effusive thanks embarrassed him.
empathetic|adjective|Able to share the feelings of others|maunawain|Nakakaramdam ng damdamin ng iba|An empathetic nurse eases the fear.
enigmatic|adjective|Mysterious and hard to understand|mahiwaga|Mahirap arukin at mahiwaga|He gave an enigmatic smile.
extroverted|adjective|Outgoing and energised by people|palakaibigan|Masiglang makihalubilo sa tao|Extroverted staff enjoy the front desk.
fickle|adjective|Changing loyalty or opinion often|pabagu-bago|Madaling magbago ng isip|Public taste is fickle.
flamboyant|adjective|Showy and confident in style|maringal|Mapagpakitang-gilas at matapang sa estilo|The singer wore a flamboyant coat.
forthright|adjective|Direct and honest in speech|prangka|Tuwiran at tapat sa pagsasalita|I value her forthright advice.
gullible|adjective|Easily tricked|madaling maloko|Madaling mapaglalangan|Gullible buyers fell for the scam.
haughty|adjective|Proud and looking down on others|palalo|Mapagmataas at mapanghamak|A haughty glance ended the exchange.
headstrong|adjective|Determined to do things your own way|matigas ang ulo|Nagpupumilit sa sariling paraan|The headstrong pupil ignored the warning.
impetuous|adjective|Acting quickly without thought|padalus-dalos|Kumikilos nang hindi nag-iisip|An impetuous purchase drained his savings.
impulsive|adjective|Acting on sudden urges|pabigla-bigla|Sumusunod sa biglaang hangarin|Impulsive spending is hard to track.
indifferent|adjective|Showing no interest or concern|walang pakialam|Wala ang interes o malasakit|He was indifferent to the outcome.
industrious|adjective|Hard working and steady|masipag|Masipag at tuloy-tuloy sa gawa|An industrious team met the deadline.
insolent|adjective|Rudely disrespectful|walang galang|Bastos at mapanghamak|The insolent reply earned a warning.
introverted|adjective|Quiet and drained by crowds|mahilig sa sarili|Tahimik at napapagod sa dami ng tao|Introverted readers prefer the corner desk.
jovial|adjective|Cheerful and friendly|masayahin|Masaya at palakaibigan|Our jovial driver told jokes all day.
lethargic|adjective|Sluggish and lacking energy|matamlay|Walang gana at mahina ang lakas|The heat made everyone lethargic.
loquacious|adjective|Very talkative|madaldal|Napakadaldal|A loquacious guide filled the silence.
meek|adjective|Quiet and unwilling to argue|maamo|Tahimik at hindi mapagtalo|Her meek manner hides real strength.
mercurial|adjective|Changing mood suddenly|pabagu-bago ang timpla|Biglaang nagbabago ang kalooban|His mercurial temper unsettles the staff.
morose|adjective|Gloomy and unsociable|malungkutin|Mapanglaw at hindi palakibo|He turned morose after the news.
nonchalant|adjective|Calmly unconcerned|walang gatol|Kalmado at walang pag-aalala|She was nonchalant about the risk.
obstinate|adjective|Stubbornly refusing to change|sutil|Matigas ang ulo at ayaw magbago|The obstinate donkey would not move.
opinionated|adjective|Holding strong views and stating them|makulit sa opinyon|Matatag at bukas sa pagsasabi ng palagay|Opinionated hosts make lively radio.
pedantic|adjective|Overly concerned with small rules|maselan sa detalye|Sobrang mapili sa maliliit na tuntunin|A pedantic editor slows the work.
perceptive|adjective|Quick to notice and understand|mapagmasid|Mabilis mapansin at makaunawa|Her perceptive question changed the plan.
petulant|adjective|Sulky and childishly bad tempered|maarte|Nagtatampo at parang bata ang galit|He gave a petulant shrug.
pompous|adjective|Self important and grand in manner|mapagmarangal|Mapagmalaki at mabigat ang porma|The pompous speech ran too long.
punctual|adjective|Arriving at the agreed time|maagap|Dumarating sa takdang oras|A punctual candidate makes a good impression.
quarrelsome|adjective|Ready to argue|palaaway|Laging handang makipagtalo|Two quarrelsome cousins spoiled the trip.
resilient|adjective|Able to recover from difficulty|matatag|May kakayahang makabangon|Resilient families rebuilt within a year.
resourceful|adjective|Good at finding ways to solve problems|maparaan|Mahusay maghanap ng solusyon|A resourceful cook wastes nothing.
sanguine|adjective|Cheerfully optimistic|maasahin|Positibo at masaya ang pananaw|He stayed sanguine despite the loss.
shrewd|adjective|Sharp in practical judgement|matalino sa negosyo|Matalas sa praktikal na pagpapasya|A shrewd buyer waits for the sale.
sociable|adjective|Enjoying the company of others|palakisama|Nasisiyahan sa pakikisama|Sociable neighbours make a good street.
stoic|adjective|Enduring pain without complaint|matiisin|Nagtitiis nang walang reklamo|She was stoic through the treatment.
sullen|adjective|Silently bad tempered|nakasimangot|Tahimik ngunit masama ang timpla|The teenager gave a sullen nod.
taciturn|adjective|Saying very little|maimbot sa salita|Napakakaunti ang sinasabi|Our taciturn guard nods but rarely speaks.
temperamental|adjective|Liable to sudden mood changes|maarteng ugali|Madaling magbago ng damdamin|The old printer is temperamental.
timid|adjective|Lacking courage or confidence|mahiyain|Kulang sa tapang o tiwala|A timid knock came at the door.
unassuming|adjective|Modest and not seeking attention|mapagpakumbaba|Simple at hindi mapagpanggap|The unassuming donor stayed anonymous.
vivacious|adjective|Lively and animated|masigla|Buhay na buhay at masaya|A vivacious host kept the show moving.
wary|adjective|Cautious about possible danger|maingat|Nag-iingat sa maaaring panganib|Be wary of unsigned contracts.
witty|adjective|Clever and amusing with words|mapaglaro sa salita|Matalino at nakakatawa sa pananalita|Her witty reply won the room.
diligent worker|noun|A person who works with steady care|masipag na manggagawa|Taong masipag at maingat sa gawain|Every team needs a diligent worker.
perfectionist|noun|A person who accepts nothing less than flawless|perpeksyonista|Taong ayaw ng anumang kapintasan|A perfectionist can miss deadlines.
optimist|noun|A person who expects good outcomes|maasahin|Taong umaasa sa mabuting kahihinatnan|An optimist sees the open door.
pessimist|noun|A person who expects bad outcomes|mapanlait sa hinaharap|Taong umaasa sa masamang kahihinatnan|A pessimist counts the risks first.
introvert|noun|A quiet person who prefers solitude|tahimik na tao|Taong mahilig sa sariling katahimikan|The introvert left the party early.
extrovert|noun|An outgoing sociable person|palakaibigang tao|Taong mahilig makihalubilo|An extrovert thrives on a busy floor.
mentor|noun|An experienced adviser to a beginner|tagapayo|Bihasang nagpapayo sa nagsisimula|My mentor read every draft.
sceptic|noun|A person who questions claims|mapag-alinlangan|Taong nagdududa sa mga sinasabi|A sceptic asks for the data.
confidant|noun|A person trusted with secrets|katiwala sa lihim|Taong pinagkakatiwalaan ng lihim|She has one true confidant.
bystander|noun|A person present but not involved|nakakikita lamang|Taong naroon ngunit hindi kasangkot|A bystander called for help.

# ---------------- Emotions & Feelings ----------------
elation|noun|A feeling of great joy|matinding tuwa|Damdamin ng labis na kasiyahan|Elation swept the stadium.
melancholy|noun|A thoughtful sadness|malumbay na damdamin|Malalim at tahimik na lungkot|Autumn brings a gentle melancholy.
nostalgia|noun|A longing for the past|pananabik sa nakaraan|Pananabik sa lumipas na panahon|Old songs stir nostalgia.
apprehension|noun|Anxiety about what may happen|pangamba|Pag-aalala sa maaaring mangyari|She felt apprehension before the results.
contentment|noun|A quiet satisfaction|kasiyahan|Payapang kasiyahan sa nakamit|Contentment does not need applause.
despair|noun|A complete loss of hope|kawalan ng pag-asa|Ganap na pagkawala ng pag-asa|Do not let one failure lead to despair.
dread|noun|Great fear of something ahead|matinding takot|Matinding takot sa darating|He felt dread before the announcement.
envy|noun|Resentment at another's advantage|inggit|Sama ng loob sa tinamo ng iba|Envy makes poor company.
euphoria|noun|An intense feeling of happiness|labis na saya|Napakatinding kaligayahan|The win produced brief euphoria.
grief|noun|Deep sorrow after a loss|pighati|Malalim na dalamhati sa pagkawala|Grief comes in waves.
indignation|noun|Anger at unfair treatment|matuwid na galit|Galit dahil sa kawalang-katarungan|Her letter was full of indignation.
jubilation|noun|Great celebration and joy|pagdiriwang|Malaking galak at pagdiriwang|Jubilation followed the final whistle.
remorse|noun|Deep regret for a wrong done|pagsisisi|Malalim na pagsisisi sa nagawang mali|He showed genuine remorse.
resentment|noun|Bitterness at unfair treatment|sama ng loob|Pait ng damdamin sa hindi patas|Old resentment surfaced again.
serenity|noun|A state of calm peacefulness|katahimikan|Kalagayan ng payapang kalooban|The garden offers real serenity.
solace|noun|Comfort in sorrow|aliw|Ginhawa sa gitna ng lungkot|Music gave her solace.
sorrow|noun|Deep sadness|kalungkutan|Malalim na kalungkutan|The song is full of sorrow.
trepidation|noun|Nervous fear about the future|kaba|Kaba sa darating na pangyayari|We opened the letter with trepidation.
yearning|noun|A strong longing for something|pananabik|Matinding pagnanais o pananabik|A yearning for home never left him.
anguish|noun|Severe mental or physical pain|paghihirap ng loob|Matinding sakit ng isip o katawan|The wait caused real anguish.
compassion|noun|Sympathy with a wish to help|habag|Awa na may hangaring tumulong|Compassion guided her work.
contempt|noun|Feeling that someone is worthless|paghamak|Pagtingin na walang halaga ang iba|He spoke with open contempt.
disdain|noun|Scornful dislike|pagmamaliit|Paghamak at pagkasuklam|She looked at the offer with disdain.
dismay|noun|Distress at something unexpected|pagkabagabag|Pagkagulat na may lungkot|To our dismay, the shop had closed.
exasperation|noun|Intense irritation|matinding inis|Labis na pagkainis|He sighed in exasperation.
gratitude|noun|Thankfulness for a kindness|pasasalamat|Damdamin ng pagkilala sa kabutihan|A short note can express gratitude.
humiliation|noun|The loss of dignity in public|kahihiyan|Pagkawala ng dangal sa harap ng iba|The mistake caused public humiliation.
infatuation|noun|Short lived intense attraction|pagkahumaling|Panandaliang matinding pagkagusto|It was infatuation, not love.
misery|noun|Great unhappiness|dusa|Matinding kalungkutan|Damp weather adds to the misery.
optimism|noun|The tendency to expect good things|pag-asa|Ugali ng pag-asa sa mabuti|Her optimism lifted the group.
pessimism|noun|The tendency to expect bad things|kawalan ng pag-asa|Ugali ng pag-asa sa masama|Pessimism drains a team.
regret|noun|Sadness about something done or missed|panghihinayang|Lungkot sa nagawa o napalampas|My only regret is not asking sooner.
reluctance|noun|Unwillingness to do something|pag-aatubili|Kawalan ng gana o pag-aalinlangan|He agreed with obvious reluctance.
resignation|noun|Calm acceptance of something bad|pagtanggap sa kapalaran|Tahimik na pagtanggap sa hindi maiiwasan|She spoke with quiet resignation.
sympathy|noun|Shared feeling for another's sorrow|pakikiramay|Pakikiisa sa lungkot ng iba|We sent a card of sympathy.
tenderness|noun|Gentle warmth toward someone|lambing|Malumanay na init ng damdamin|He held the child with tenderness.
vexation|noun|Annoyance and frustration|inis|Pagkairita at pagkabigo|Delays are a constant vexation.
awe|noun|Wonder mixed with respect|paghanga|Pagkamangha na may paggalang|The cathedral fills visitors with awe.
affection|noun|A gentle feeling of fondness|pagmamahal|Malumanay na damdamin ng pagmamahal|She speaks of them with affection.
anticipation|noun|Excited expectation|pananabik|Sabik na paghihintay|Anticipation built before the opening.
disillusionment|noun|Loss of belief in something admired|pagkabigo sa paniniwala|Pagkawala ng paniniwala sa pinaniwalaan|Disillusionment set in after a year.
empathy|noun|The ability to feel what others feel|pakikiramdam|Kakayahang maramdaman ang nadarama ng iba|Empathy makes a better manager.
frustration|noun|Annoyance at being blocked|pagkabigo|Inis sa hadlang na hindi malampasan|Slow internet is a daily frustration.
guilt|noun|A feeling of having done wrong|pagkakasala|Damdamin ng pagkakamali|Guilt kept him awake.
longing|noun|A persistent strong wish|pananabik|Matagalan at matinding hangarin|There was longing in her voice.
pity|noun|Sorrow for another's suffering|awa|Lungkot sa paghihirap ng iba|He wanted respect, not pity.
relief|noun|Ease after worry has passed|ginhawa|Ginhawa matapos ang pag-aalala|Relief showed on every face.
shame|noun|Distress at having done wrong|hiya|Sakit ng loob dahil sa maling nagawa|He hung his head in shame.
unease|noun|A slight feeling that something is wrong|pagkabahala|Bahagyang pakiramdam na may mali|A sense of unease filled the room.
composure|noun|Calm control of your feelings|kahinahunan|Kalmadong pagpipigil sa damdamin|She kept her composure throughout.

# ---------------- Work & Career ----------------
appraisal|noun|A formal review of performance|pagtatasa|Pormal na pagsusuri ng pagganap|My appraisal is due next month.
autonomy|noun|Freedom to act independently|kalayaan sa pagkilos|Kalayaang kumilos nang nagsasarili|The team was given full autonomy.
benchmark|noun|A standard used for comparison|pamantayan|Batayang panukat sa paghahambing|Last year's figures are our benchmark.
bureaucracy|noun|A system of complex official rules|burukrasya|Sistema ng masalimuot na alituntunin|Bureaucracy delayed the permit.
candidate|noun|A person applying for a post|aplikante|Taong nag-aaplay sa isang posisyon|We shortlisted four candidates.
colleague|noun|A person you work with|katrabaho|Taong kasama sa trabaho|A colleague covered my shift.
competence|noun|The ability to do something well|kakayahan|Kakayahang gawin nang mahusay|Technical competence is essential here.
compliance|noun|Acting in line with rules|pagsunod|Pagsunod sa mga alituntunin|Compliance training is mandatory.
contingency|noun|A plan for a possible problem|kontinghensya|Panukalang plano sa posibleng problema|Keep a contingency for delays.
credential|noun|A qualification proving ability|kredensyal|Katibayan ng kakayahan|Attach your credentials to the form.
delegate|verb|To give a task to someone else|italaga|Ibigay ang gawain sa iba|Learn to delegate the routine work.
deadline|noun|The latest time to finish something|takdang oras|Huling oras ng pagtatapos|The deadline moved to Friday.
dismissal|noun|The act of removing someone from a job|pagtanggal sa trabaho|Pag-aalis sa isang tao sa trabaho|Unfair dismissal can be appealed.
entrepreneur|noun|A person who starts a business|negosyante|Taong nagsisimula ng negosyo|The entrepreneur opened three branches.
expertise|noun|Deep skill in a field|kadalubhasaan|Malalim na kasanayan sa larangan|We hired her for her expertise.
freelance|adjective|Working for several clients independently|malayang manggagawa|Nagtatrabaho para sa iba't ibang kliyente|She took a freelance contract.
hierarchy|noun|A system of ranks in an organisation|antas ng kapangyarihan|Sistema ng antas sa organisasyon|The hierarchy is quite flat here.
incentive|noun|Something that encourages action|insentibo|Bagay na nag-uudyok kumilos|Bonuses act as an incentive.
initiative|noun|The ability to act without being told|inisyatibo|Kakayahang kumilos nang kusa|She showed initiative on day one.
internship|noun|A period of practical training|internship|Panahon ng praktikal na pagsasanay|The internship lasts three months.
liaison|noun|A person or link between two groups|tagapag-ugnay|Tagapagdugtong ng dalawang pangkat|She acts as liaison with the council.
logistics|noun|The planning of moving goods and people|lohistika|Pagpaplano ng paggalaw ng tao at kalakal|Logistics is the hardest part.
mandate|noun|Official authority to do something|mandato|Opisyal na kapangyarihan gumawa|The board gave them a clear mandate.
milestone|noun|An important point in a project|mahalagang hakbang|Mahalagang yugto ng proyekto|We hit the first milestone early.
morale|noun|The confidence and spirit of a group|kalooban ng grupo|Sigla at tiwala ng isang pangkat|Morale improved after the raise.
onboarding|noun|The process of settling in new staff|pagpapakilala sa bagong empleyado|Proseso ng pagsanay sa bagong tauhan|Onboarding takes about a week.
outsource|verb|To give work to an outside firm|ipasa sa iba|Ipagawa sa panlabas na kumpanya|They outsource their payroll.
overtime|noun|Hours worked beyond the normal shift|obertaym|Oras na lampas sa karaniwang trabaho|Overtime is paid at a higher rate.
portfolio|noun|A collection showing your work|portfolyo|Koleksyon ng mga gawa|Bring your portfolio to the interview.
precedent|noun|An earlier case used as a guide|nauna nang halimbawa|Naunang kasong ginagamit na gabay|This sets a useful precedent.
procurement|noun|The buying of goods for an organisation|pagbili ng kagamitan|Pagkuha ng kailangang gamit ng samahan|Procurement approved the order.
productivity|noun|The rate of useful output|produktibidad|Bilis ng kapaki-pakinabang na gawa|Short breaks raise productivity.
promotion|noun|A move to a higher position|promosyon|Pag-akyat sa mas mataas na posisyon|She earned a promotion in June.
proposal|noun|A plan put forward for consideration|panukala|Planong iniharap para pag-isipan|Send the proposal by Tuesday.
quota|noun|A fixed required amount|kota|Takdang dami na kailangang abutin|The team met its quota early.
recruitment|noun|The process of hiring people|pagre-recruit|Proseso ng pagkuha ng tauhan|Recruitment opens next month.
redundancy|noun|Job loss because the role is no longer needed|pagkatanggal sa trabaho|Pagkawala ng trabaho dahil hindi na kailangan|Redundancy pay depends on service.
remuneration|noun|Payment for work done|kabayaran|Bayad sa isinagawang trabaho|Remuneration includes a travel allowance.
stakeholder|noun|A person affected by a decision|kinauukulan|Taong apektado ng isang pasya|Consult every stakeholder first.
strategy|noun|A plan to reach a long term goal|estratehiya|Plano tungo sa pangmatagalang layunin|Our strategy is to grow slowly.
subordinate|noun|A person of lower rank at work|nasasakupan|Taong mas mababa ang ranggo|Give subordinates clear briefs.
supervisor|noun|A person who oversees others' work|superbisor|Taong namamahala sa gawa ng iba|Report absences to your supervisor.
tenure|noun|The period of holding a position|panunungkulan|Panahon ng paghawak ng posisyon|Her tenure lasted six years.
turnover|noun|The rate at which staff leave|palitan ng tauhan|Bilis ng pag-alis ng mga tauhan|High turnover costs the company.
vacancy|noun|An unfilled job position|bakanteng posisyon|Posisyong walang nakaupo|There is a vacancy in accounts.
venture|noun|A new business with risk|panibagong negosyo|Bagong negosyong may panganib|The venture broke even in year two.
workload|noun|The amount of work to be done|dami ng trabaho|Bigat ng gawaing dapat tapusin|My workload doubled this quarter.
workflow|noun|The sequence of steps in a task|daloy ng gawain|Sunud-sunod na hakbang sa gawain|We mapped the whole workflow.
appointment|noun|An arranged meeting time|tipanan|Napagkasunduang oras ng pagkikita|I have an appointment at three.
agenda|noun|A list of items for a meeting|adyenda|Listahan ng tatalakayin sa pulong|Circulate the agenda beforehand.
minutes|noun|A written record of a meeting|katitikan|Nakasulat na tala ng pulong|Please take the minutes today.
deliverable|noun|A result that must be produced|dapat maipasa|Resultang dapat maihatid|The first deliverable is a draft.
scope|noun|The extent of what is included|saklaw|Sukat ng nasasakop|Agree the scope before you start.
timeline|noun|A schedule of events over time|talatakdaan|Iskedyul ng mga pangyayari|The timeline is realistic.
resign|verb|To leave a job voluntarily|magbitiw|Kusang umalis sa trabaho|He resigned after ten years.
recruit|verb|To find and hire new people|kumuha ng tauhan|Maghanap at kumuha ng bagong tauhan|We recruit twice a year.
supervise|verb|To watch over work being done|mamahala|Bantayan ang isinasagawang gawain|She supervises four trainees.
collaborate|verb|To work together on something|magtulungan|Magtulungan sa isang gawain|Two teams collaborated on the design.
coordinate|verb|To organise parts to work together|magtugma|Iayos ang bahagi upang magkatugma|Please coordinate with logistics.
prioritise|verb|To put tasks in order of importance|unahin|Ayusin ang gawain ayon sa halaga|Prioritise the urgent tickets.
streamline|verb|To make a process simpler|pasimplehin|Gawing mas payak ang proseso|We streamlined the approval steps.

# ---------------- Money & Finance ----------------
asset|noun|Something of value that is owned|ari-arian|Bagay na may halagang pag-aari|Property is their largest asset.
liability|noun|A debt or legal responsibility|pananagutan|Utang o legal na obligasyon|The loan is a long term liability.
budget|noun|A plan for spending money|badyet|Plano sa paggastos ng pera|Keep the party within budget.
capital|noun|Money used to start or grow a business|puhunan|Perang panimula o pampalago ng negosyo|They raised capital from friends.
collateral|noun|Property pledged to secure a loan|kolateral|Ari-ariang isinanla para sa utang|The land served as collateral.
commodity|noun|A raw product that is traded|kalakal|Hilaw na produktong pinagkakalakal|Rice is a staple commodity here.
credit|noun|The ability to buy now and pay later|utang|Kakayahang bumili ngayon at magbayad mamaya|Her credit record is spotless.
deficit|noun|The amount by which spending exceeds income|kakulangan|Lamang ng gastos sa kita|The council faces a small deficit.
depreciation|noun|A fall in value over time|pagbaba ng halaga|Pagbaba ng halaga sa paglipas ng panahon|Cars suffer rapid depreciation.
dividend|noun|A share of profit paid to owners|dibidendo|Bahagi ng kita na ibinibigay sa may-ari|The dividend was paid in March.
equity|noun|The value of ownership after debts|puhunang pag-aari|Halaga ng pag-aari matapos ang utang|They built equity in the flat.
expenditure|noun|Money that is spent|paggastos|Perang ginagastos|Expenditure rose in December.
fiscal|adjective|Relating to public money|piskal|May kinalaman sa pondo ng bayan|The fiscal year ends in March.
inflation|noun|A general rise in prices|implasyon|Pangkalahatang pagtaas ng presyo|Inflation eased slightly.
installment|noun|One of several regular payments|hulugan|Isa sa serye ng regular na bayad|Pay in six installments.
invoice|noun|A bill listing goods and prices|imbois|Listahan ng bilihin at presyo|Send the invoice by email.
liquidity|noun|How easily assets turn into cash|pagkatubig ng pondo|Dali ng pagpapalit ng ari-arian sa salapi|Small firms need liquidity.
margin|noun|The difference between cost and price|margin|Agwat ng puhunan at presyo|Their margin is very thin.
mortgage|noun|A loan used to buy property|sanla sa bahay|Utang na pambili ng ari-arian|The mortgage runs for twenty years.
overdraft|noun|Money drawn beyond an account balance|labis na paghugot|Perang kinuha lampas sa laman ng account|An overdraft carries a high fee.
payroll|noun|The list of employees and their pay|payroll|Talaan ng empleyado at sahod|Payroll is processed on the fifteenth.
premium|noun|A regular payment for insurance|premyum|Regular na bayad sa seguro|The premium rises each year.
